Last synchro: 03.11.2017 09:02:27
Nr_Zlecenia_Produkcyjnego;BrakLutowia;BrakKomponentu;ZabrudzonaDioda;UszkodzonaDioda;UszkodzonePCB;PrzesuniecieDiody;ZanieczyszczenieZpieca;Inne;DataCzas
1208096;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208091;0;0;3;0;0;1;0;0;29.09.2017 09:35:00
1208083;0;0;4;0;0;2;0;5;29.09.2017 09:35:00
1207988;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208085;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208057;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208088;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208012;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1205787;0;0;3;0;0;0;0;0;29.09.2017 09:35:00
1205841;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206772;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1206910;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206908;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206907;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206903;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1206902;0;0;0;0;0;0;0;2;29.09.2017 09:35:00
1205867;0;0;0;0;0;1;0;0;29.09.2017 09:35:00
1205858;4;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207833;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1207802;1;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207914;0;0;0;0;0;1;0;0;29.09.2017 09:35:00
1207963;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1207936;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207994;0;0;0;0;0;4;0;0;29.09.2017 09:35:00
1208013;0;0;2;0;0;0;0;0;29.09.2017 09:35:00
1208006;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207993;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207922;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208117;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208125;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1207924;1;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208115;0;0;0;0;0;0;4;0;29.09.2017 09:35:00
1208089;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208185;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208128;0;0;0;0;0;0;1;0;29.09.2017 09:35:00
1208098;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208090;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208156;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208046;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
1208047;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1207894;0;0;0;0;0;0;0;0;29.09.2017 09:35:00
1208105;0;0;2;0;0;0;0;0;29.09.2017 09:35:00
1208154;0;0;1;0;0;0;0;0;29.09.2017 09:35:00
